quality,subsample,stdHuffmanTables,oldSize,newSize,time
1,4:4:4,True,786486,9118,0.6902010440826416
1,4:4:4,True,786486,8805,0.6302790641784668
1,4:4:4,True,786486,8275,0.6243960857391357
1,4:4:4,True,786486,8724,0.6405727863311768
1,4:4:4,True,786486,8988,0.6345560550689697
1,4:4:4,True,786486,9029,0.633826732635498
1,4:4:4,True,786486,8000,0.6164777278900146
1,4:4:4,True,786486,7927,0.6157729625701904
1,4:4:4,True,786486,9781,0.6520886421203613
1,4:4:4,True,786486,10067,0.6544110774993896
1,4:4:4,True,786486,9216,0.6387608051300049
1,4:4:4,True,786486,9654,0.6468591690063477
1,4:4:4,True,786486,8308,0.6237101554870605
1,4:4:4,True,786486,8200,0.6197688579559326
1,4:4:4,True,786486,8515,0.6253759860992432
1,4:4:4,True,786486,9092,0.6375751495361328
1,4:4:4,True,786486,9701,0.6456677913665771
1,4:4:4,True,786486,8578,0.6263699531555176
1,4:4:4,True,786486,10403,0.6595683097839355
1,4:4:4,True,786486,10553,0.6606128215789795
1,4:4:4,False,786486,4826,1.1435558795928955
1,4:4:4,False,786486,4430,1.1497578620910645
1,4:4:4,False,786486,3868,1.1262710094451904
1,4:4:4,False,786486,4328,1.1341102123260498
1,4:4:4,False,786486,4686,1.141402006149292
1,4:4:4,False,786486,4686,1.1384239196777344
1,4:4:4,False,786486,3602,1.1141929626464844
1,4:4:4,False,786486,3507,1.118612289428711
1,4:4:4,False,786486,5653,1.1601459980010986
1,4:4:4,False,786486,5865,1.1661341190338135
1,4:4:4,False,786486,4774,1.1469902992248535
1,4:4:4,False,786486,5484,1.1581811904907227
1,4:4:4,False,786486,3943,1.1293461322784424
1,4:4:4,False,786486,3938,1.1336109638214111
1,4:4:4,False,786486,4215,1.1403629779815674
1,4:4:4,False,786486,4806,1.1471610069274902
1,4:4:4,False,786486,5411,1.1628408432006836
1,4:4:4,False,786486,4169,1.1381542682647705
1,4:4:4,False,786486,6146,1.1768040657043457
1,4:4:4,False,786486,6214,1.1833288669586182
1,4:2:0,True,786486,6031,0.3348119258880615
1,4:2:0,True,786486,5708,0.33272504806518555
1,4:2:0,True,786486,5237,0.3221609592437744
1,4:2:0,True,786486,5629,0.33053088188171387
1,4:2:0,True,786486,5853,0.3338339328765869
1,4:2:0,True,786486,5958,0.335521936416626
1,4:2:0,True,786486,4923,0.3182361125946045
1,4:2:0,True,786486,4903,0.3177192211151123
1,4:2:0,True,786486,6552,0.3442530632019043
1,4:2:0,True,786486,6964,0.34940481185913086
1,4:2:0,True,786486,6103,0.33530306816101074
1,4:2:0,True,786486,6384,0.342864990234375
1,4:2:0,True,786486,5244,0.32206106185913086
1,4:2:0,True,786486,5015,0.3194241523742676
1,4:2:0,True,786486,5374,0.32260775566101074
1,4:2:0,True,786486,5975,0.33188891410827637
1,4:2:0,True,786486,6636,0.3446238040924072
1,4:2:0,True,786486,5547,0.3260180950164795
1,4:2:0,True,786486,7303,0.35706090927124023
1,4:2:0,True,786486,7332,0.356464147567749
1,4:2:0,False,786486,3226,0.5899350643157959
1,4:2:0,False,786486,2837,0.5825178623199463
1,4:2:0,False,786486,2359,0.5701909065246582
1,4:2:0,False,786486,2693,0.5742499828338623
1,4:2:0,False,786486,3011,0.5818631649017334
1,4:2:0,False,786486,3119,0.5865118503570557
1,4:2:0,False,786486,2036,0.5654280185699463
